date,close
1970-01-04,0.008
1970-01-11,0.0075
1970-01-18,0.0075
1970-01-25,0.0077
1970-02-01,0.0074
1970-02-08,0.007
1970-02-15,0.0074
1970-02-22,0.0075
1970-03-01,0.0076
1970-03-08,0.0075
1970-03-15,0.0072
1970-03-22,0.0072
1970-03-29,0.0077
1970-04-05,0.0071
1970-04-12,0.007
1970-04-19,0.007
1970-04-26,0.0065
1970-05-03,0.0069
1970-05-10,0.0067
1970-05-17,0.0067
1970-05-24,0.0065
1970-05-31,0.0076
1970-06-07,0.008
1970-06-14,0.0078
1970-06-21,0.0085
1970-06-28,0.008
1970-07-05,0.0082
1970-07-12,0.0086
1970-07-19,0.0086
1970-07-26,0.0084
1970-08-02,0.0088
1970-08-09,0.0085
1970-08-16,0.0084
1970-08-23,0.0085
1970-08-30,0.0088
1970-09-06,0.0086
1970-09-13,0.0086
1970-09-20,0.0085
1970-09-27,0.0089
1970-10-04,0.0093
1970-10-11,0.0094
1970-10-18,0.0097
1970-10-25,0.0097
1970-11-01,0.0099
1970-11-08,0.01
1970-11-15,0.0102
1970-11-22,0.0102
1970-11-29,0.0107
1970-12-06,0.0107
1970-12-13,0.0108
1970-12-20,0.0108
1970-12-27,0.011
1971-01-03,0.0112
1971-01-10,0.0108
1971-01-17,0.0107
1971-01-24,0.0114
1971-01-31,0.0118
1971-02-07,0.0121
1971-02-14,0.0123
1971-02-21,0.0123
1971-02-28,0.012
1971-03-07,0.0124
1971-03-14,0.0133
1971-03-21,0.0139
1971-03-28,0.0136
1971-04-04,0.0134
1971-04-11,0.0133
1971-04-18,0.0141
1971-04-25,0.0144
1971-05-02,0.0151
1971-05-09,0.0146
1971-05-16,0.0144
1971-05-23,0.014
1971-05-30,0.0134
1971-06-06,0.0141
1971-06-13,0.015
1971-06-20,0.0147
1971-06-27,0.014
1971-07-04,0.0145
1971-07-11,0.0149
1971-07-18,0.0148
1971-07-25,0.0151
1971-08-01,0.0144
1971-08-08,0.0139
1971-08-15,0.0138
1971-08-22,0.0152
1971-08-29,0.0156
1971-09-05,0.0155
1971-09-12,0.0157
1971-09-19,0.0157
1971-09-26,0.0148
1971-10-03,0.0151
1971-10-10,0.0147
1971-10-17,0.014
1971-10-24,0.014
1971-10-31,0.0138
1971-11-07,0.0137
1971-11-14,0.0136
1971-11-21,0.0128
1971-11-28,0.0135
1971-12-05,0.0146
1971-12-12,0.0151
1971-12-19,0.0152
1971-12-26,0.0156
1972-01-02,0.0161
1972-01-09,0.0165
1972-01-16,0.0165
1972-01-23,0.016
1972-01-30,0.0165
1972-02-06,0.0168
1972-02-13,0.0165
1972-02-20,0.0178
1972-02-27,0.0177
1972-03-05,0.0181
1972-03-12,0.0181
1972-03-19,0.0178
1972-03-26,0.0184
1972-04-02,0.0184
1972-04-09,0.02
1972-04-16,0.0212
1972-04-23,0.0211
1972-04-30,0.0211
1972-05-07,0.0211
1972-05-14,0.0213
1972-05-21,0.0237
1972-05-28,0.0235
1972-06-04,0.0229
1972-06-11,0.0228
1972-06-18,0.0239
1972-06-25,0.024
1972-07-02,0.024
1972-07-09,0.0259
1972-07-16,0.0256
1972-07-23,0.0242
1972-07-30,0.0261
1972-08-06,0.027
1972-08-13,0.0261
1972-08-20,0.0257
1972-08-27,0.0239
1972-09-03,0.025
1972-09-10,0.0245
1972-09-17,0.0234
1972-09-24,0.0231
1972-10-01,0.0239
1972-10-08,0.0235
1972-10-15,0.0221
1972-10-22,0.0229
1972-10-29,0.0241
1972-11-05,0.0256
1972-11-12,0.0248
1972-11-19,0.0252
1972-11-26,0.0261
1972-12-03,0.0266
1972-12-10,0.027
1972-12-17,0.0267
1972-12-24,0.0268
1972-12-31,0.0275
1973-01-07,0.0285
1973-01-14,0.0303
1973-01-21,0.0309
1973-01-28,0.0305
1973-02-04,0.0294
1973-02-11,0.0303
1973-02-18,0.0309
1973-02-25,0.0308
1973-03-04,0.0293
1973-03-11,0.0312
1973-03-18,0.0311
1973-03-25,0.0297
1973-04-01,0.0311
1973-04-08,0.0303
1973-04-15,0.0307
1973-04-22,0.0301
1973-04-29,0.0276
1973-05-06,0.0296
1973-05-13,0.0283
1973-05-20,0.025
1973-05-27,0.0279
1973-06-03,0.0267
1973-06-10,0.028
1973-06-17,0.0283
1973-06-24,0.0275
1973-07-01,0.0286
1973-07-08,0.0274
1973-07-15,0.0279
1973-07-22,0.0285
1973-07-29,0.0294
1973-08-05,0.0292
1973-08-12,0.0295
1973-08-19,0.028
1973-08-26,0.027
1973-09-02,0.0275
1973-09-09,0.026
1973-09-16,0.0266
1973-09-23,0.0265
1973-09-30,0.0256
1973-10-07,0.0258
1973-10-14,0.027
1973-10-21,0.027
1973-10-28,0.0278
1973-11-04,0.0269
1973-11-11,0.0262
1973-11-18,0.0276
1973-11-25,0.026
1973-12-02,0.0254
1973-12-09,0.027
1973-12-16,0.0259
1973-12-23,0.0253
1973-12-30,0.027
1974-01-06,0.0268
1974-01-13,0.0249
1974-01-20,0.0262
1974-01-27,0.0261
1974-02-03,0.0262
1974-02-10,0.0254
1974-02-17,0.0246
1974-02-24,0.0247
1974-03-03,0.0251
1974-03-10,0.0249
1974-03-17,0.025
1974-03-24,0.0243
1974-03-31,0.0233
1974-04-07,0.0232
1974-04-14,0.0225
1974-04-21,0.0235
1974-04-28,0.0227
1974-05-05,0.0243
1974-05-12,0.0251
1974-05-19,0.0248
1974-05-26,0.026
1974-06-02,0.0263
1974-06-09,0.0281
1974-06-16,0.0269
1974-06-23,0.0264
1974-06-30,0.0258
1974-07-07,0.0253
1974-07-14,0.0247
1974-07-21,0.0252
1974-07-28,0.0243
1974-08-04,0.0224
1974-08-11,0.0228
1974-08-18,0.0205
1974-08-25,0.0196
1974-09-01,0.0214
1974-09-08,0.0204
1974-09-15,0.0182
1974-09-22,0.0195
1974-09-29,0.0176
1974-10-06,0.0171
1974-10-13,0.0213
1974-10-20,0.019
1974-10-27,0.02
1974-11-03,0.0218
1974-11-10,0.0222
1974-11-17,0.0207
1974-11-24,0.0215
